ID,Class Name,Code Example,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,is_faulty,fault_types,combined_input,Enhanced Explanation,Reference Explanation
53,ConfirmationNotAvailableException,/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.security.ConfirmationNotAvailableException\n */\npackage android.security;\n\npublic class ConfirmationNotAvailableException\nextends Exception {\n    public ConfirmationNotAvailableException() {\n    }\n\n    public ConfirmationNotAvailableException(String string) {\n        super(string);\n    }\n}\n\n,2.0,3.0,0.0,0.0,4.0,1.0,0.0,2.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.security.ConfirmationNotAvailableException\n */\npackage android.security;\n\npublic class ConfirmationNot...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 2.0 [OK]
- Cohesion (LCOM): 1.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 4.0 [OK]
- Inheritance Depth (DIT): 3.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 2.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=2.0), managed coupling (CBO=0.0), good cohesion (LCOM=1.0), reasonable response set (RFC=4.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=2.0), managed coupling (CBO=0.0), good cohesion (LCOM=1.0), reasonable response set (RFC=4.0)."
3,AccountsException,"/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.accounts.AccountsException\n */\npackage android.accounts;\n\npublic class AccountsException\nextends Exception {\n    public AccountsException() {\n    }\n\n    public AccountsException(String string) {\n        super(string);\n    }\n\n    public AccountsException(String string, Throwable throwable) {\n        super(string, throwable);\n    }\n\n    public AccountsException(Throwable throwable) {\n        super(throwable);\n    }\n}\n\n",4.0,3.0,0.0,0.0,8.0,6.0,0.0,4.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.accounts.AccountsException\n */\npackage android.accounts;\n\npublic class AccountsException\nextends Exce...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 4.0 [OK]
- Cohesion (LCOM): 6.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 8.0 [OK]
- Inheritance Depth (DIT): 3.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 4.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=4.0), managed coupling (CBO=0.0), good cohesion (LCOM=6.0), reasonable response set (RFC=8.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=4.0), managed coupling (CBO=0.0), good cohesion (LCOM=6.0), reasonable response set (RFC=8.0)."
200,ObjectPoolItem,/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.app.servertransaction.ObjectPoolItem\n */\npackage android.app.servertransaction;\n\npublic interface ObjectPoolItem {\n    public void recycle();\n}\n\n,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.app.servertransaction.ObjectPoolItem\n */\npackage android.app.servertransaction;\n\npublic interface Obje...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 1.0 [OK]
- Cohesion (LCOM): 0.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 1.0 [OK]
- Inheritance Depth (DIT): 1.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 1.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=1.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=1.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=1.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=1.0)."
139,KeyChainException,"/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.security.KeyChainException\n */\npackage android.security;\n\npublic class KeyChainException\nextends Exception {\n    public KeyChainException() {\n    }\n\n    public KeyChainException(String string) {\n        super(string);\n    }\n\n    public KeyChainException(String string, Throwable throwable) {\n        super(string, throwable);\n    }\n\n    public KeyChainException(Throwable throwable) {\n        super(throwable == null ? null : throwable.toString(), throwable);\n    }\n}\n\n",4.0,3.0,0.0,0.0,8.0,6.0,0.0,4.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.security.KeyChainException\n */\npackage android.security;\n\npublic class KeyChainException\nextends Exce...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 4.0 [OK]
- Cohesion (LCOM): 6.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 8.0 [OK]
- Inheritance Depth (DIT): 3.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 4.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=4.0), managed coupling (CBO=0.0), good cohesion (LCOM=6.0), reasonable response set (RFC=8.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=4.0), managed coupling (CBO=0.0), good cohesion (LCOM=6.0), reasonable response set (RFC=8.0)."
257,SmallTest,"/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.test.suitebuilder.annotation.SmallTest\n */\npackage android.test.suitebuilder.annotation;\n\nimport java.lang.annotation.ElementType;\nimport java.lang.annotation.Retention;\nimport java.lang.annotation.RetentionPolicy;\nimport java.lang.annotation.Target;\n\n@Deprecated\n@Retention(value=RetentionPolicy.RUNTIME)\n@Target(value={ElementType.METHOD, ElementType.TYPE})\npublic @interface SmallTest {\n}\n\n",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.test.suitebuilder.annotation.SmallTest\n */\npackage android.test.suitebuilder.annotation;\n\nimport java....

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 0.0 [OK]
- Cohesion (LCOM): 0.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 0.0 [OK]
- Inheritance Depth (DIT): 1.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 0.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=0.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=0.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=0.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=0.0)."
96,FlakyTest,/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.test.FlakyTest\n */\npackage android.test;\n\nimport java.lang.annotation.ElementType;\nimport java.lang.annotation.Retention;\nimport java.lang.annotation.RetentionPolicy;\nimport java.lang.annotation.Target;\n\n@Deprecated\n@Target(value={ElementType.METHOD})\n@Retention(value=RetentionPolicy.RUNTIME)\npublic @interface FlakyTest {\n    public int tolerance() default 1;\n}\n\n,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.test.FlakyTest\n */\npackage android.test;\n\nimport java.lang.annotation.ElementType;\nimport java.lang.a...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 1.0 [OK]
- Cohesion (LCOM): 0.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 1.0 [OK]
- Inheritance Depth (DIT): 1.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 1.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=1.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=1.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=1.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=1.0)."
91,EnforcePermission,"/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.annotation.EnforcePermission\n */\npackage android.annotation;\n\nimport java.lang.annotation.ElementType;\nimport java.lang.annotation.Retention;\nimport java.lang.annotation.RetentionPolicy;\nimport java.lang.annotation.Target;\n\n@Retention(value=RetentionPolicy.CLASS)\n@Target(value={ElementType.METHOD, ElementType.TYPE})\npublic @interface EnforcePermission {\n    public String value() default """";\n\n    public String[] allOf() default {};\n\n    public String[] anyOf() default {};\n}\n\n",3.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.annotation.EnforcePermission\n */\npackage android.annotation;\n\nimport java.lang.annotation.ElementType;...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 3.0 [OK]
- Cohesion (LCOM): 3.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 3.0 [OK]
- Inheritance Depth (DIT): 1.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 3.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=3.0), managed coupling (CBO=0.0), good cohesion (LCOM=3.0), reasonable response set (RFC=3.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=3.0), managed coupling (CBO=0.0), good cohesion (LCOM=3.0), reasonable response set (RFC=3.0)."
110,GeomagneticField,"/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.hardware.GeomagneticField\n *  android.hardware.GeomagneticField$LegendreTable\n */\npackage android.hardware;\n\nimport android.hardware.GeomagneticField;\nimport java.util.Calendar;\nimport java.util.TimeZone;\n\npublic class GeomagneticField {\n    private float mX;\n    private float mY;\n    private float mZ;\n    private float mGcLatitudeRad;\n    private float mGcLongitudeRad;\n    private float mGcRadiusKm;\n    private static final float EARTH_SEMI_MAJOR_AXIS_KM = 6378.137f;\n    private static final float EARTH_SEMI_MINOR_AXIS_KM = 6356.7524f;\n    private static final float EARTH_REFERENCE_RADIUS_KM = 6371.2f;\n    private static final float[][] G_COEFF = new float[][]{{0.0f}, {-29404.5f, -1450.7f}, {-2500.0f, 2982.0f, 1676.8f}, {1363.9f, -2381.0f, 1236.2f, 525.7f}, {903.1f, 809.4f, 86.2f, -309.4f, 47.9f}, {-234.4f, 363.1f, 187.8f, -140.7f, -151.2f, 13.7f}, {65.9f, 65.6f, 73.0f, -121.5f, -36.2f, 13.5f, -64.7f}, {80.6f, -76.8f, -8.3f, 56.5f, 15.8f, 6.4f, -7.2f, 9.8f}, {23.6f, 9.8f, -17.5f, -0.4f, -21.1f, 15.3f, 13.7f, -16.5f, -0.3f}, {5.0f, 8.2f, 2.9f, -1.4f, -1.1f, -13.3f, 1.1f, 8.9f, -9.3f, -11.9f}, {-1.9f, -6.2f, -0.1f, 1.7f, -0.9f, 0.6f, -0.9f, 1.9f, 1.4f, -2.4f, -3.9f}, {3.0f, -1.4f, -2.5f, 2.4f, -0.9f, 0.3f, -0.7f, -0.1f, 1.4f, -0.6f, 0.2f, 3.1f}, {-2.0f, -0.1f, 0.5f, 1.3f, -1.2f, 0.7f, 0.3f, 0.5f, -0.2f, -0.5f, 0.1f, -1.1f, -0.3f}};\n    private static final float[][] H_COEFF = new float[][]{{0.0f}, {0.0f, 4652.9f}, {0.0f, -2991.6f, -734.8f}, {0.0f, -82.2f, 241.8f, -542.9f}, {0.0f, 282.0f, -158.4f, 199.8f, -350.1f}, {0.0f, 47.7f, 208.4f, -121.3f, 32.2f, 99.1f}, {0.0f, -19.1f, 25.0f, 52.7f, -64.4f, 9.0f, 68.1f}, {0.0f, -51.4f, -16.8f, 2.3f, 23.5f, -2.2f, -27.2f, -1.9f}, {0.0f, 8.4f, -15.3f, 12.8f, -11.8f, 14.9f, 3.6f, -6.9f, 2.8f}, {0.0f, -23.3f, 11.1f, 9.8f, -5.1f, -6.2f, 7.8f, 0.4f, -1.5f, 9.7f}, {0.0f, 3.4f, -0.2f, 3.5f, 4.8f, -8.6f, -0.1f, -4.2f, -3.4f, -0.1f, -8.8f}, {0.0f, 0.0f, 2.6f, -0.5f, -0.4f, 0.6f, -0.2f, -1.7f, -1.6f, -3.0f, -2.0f, -2.6f}, {0.0f, -1.2f, 0.5f, 1.3f, -1.8f, 0.1f, 0.7f, -0.1f, 0.6f, 0.2f, -0.9f, 0.0f, 0.5f}};\n    private static final float[][] DELTA_G = new float[][]{{0.0f}, {6.7f, 7.7f}, {-11.5f, -7.1f, -2.2f}, {2.8f, -6.2f, 3.4f, -12.2f}, {-1.1f, -1.6f, -6.0f, 5.4f, -5.5f}, {-0.3f, 0.6f, -0.7f, 0.1f, 1.2f, 1.0f}, {-0.6f, -0.4f, 0.5f, 1.4f, -1.4f, 0.0f, 0.8f}, {-0.1f, -0.3f, -0.1f, 0.7f, 0.2f, -0.5f, -0.8f, 1.0f}, {-0.1f, 0.1f, -0.1f, 0.5f, -0.1f, 0.4f, 0.5f, 0.0f, 0.4f}, {-0.1f, -0.2f, 0.0f, 0.4f, -0.3f, 0.0f, 0.3f, 0.0f, 0.0f, -0.4f}, {0.0f, 0.0f, 0.0f, 0.2f, -0.1f, -0.2f, 0.0f, -0.1f, -0.2f, -0.1f, 0.0f}, {0.0f, -0.1f, 0.0f, 0.0f, 0.0f, -0.1f, 0.0f, 0.0f, -0.1f, -0.1f, -0.1f, -0.1f}, {0.0f, 0.0f, 0.0f, 0.0f, 0.0f, 0.0f, 0.0f, 0.0f, 0.0f, 0.0f, 0.0f, 0.0f, -0.1f}};\n    private static final float[][] DELTA_H = new float[][]{{0.0f}, {0.0f, -25.1f}, {0.0f, -30.2f, -23.9f}, {0.0f, 5.7f, -1.0f, 1.1f}, {0.0f, 0.2f, 6.9f, 3.7f, -5.6f}, {0.0f, 0.1f, 2.5f, -0.9f, 3.0f, 0.5f}, {0.0f, 0.1f, -1.8f, -1.4f, 0.9f, 0.1f, 1.0f}, {0.0f, 0.5f, 0.6f, -0.7f, -0.2f, -1.2f, 0.2f, 0.3f}, {0.0f, -0.3f, 0.7f, -0.2f, 0.5f, -0.3f, -0.5f, 0.4f, 0.1f}, {0.0f, -0.3f, 0.2f, -0.4f, 0.4f, 0.1f, 0.0f, -0.2f, 0.5f, 0.2f}, {0.0f, 0.0f, 0.1f, -0.3f, 0.1f, -0.2f, 0.1f, 0.0f, -0.1f, 0.2f, 0.0f}, {0.0f, 0.0f, 0.1f, 0.0f, 0.2f, 0.0f, 0.0f, 0.1f, 0.0f, -0.1f, 0.0f, 0.0f}, {0.0f, 0.0f, 0.0f, -0.1f, 0.1f, 0.0f, 0.0f, 0.0f, 0.1f, 0.0f, 0.0f, 0.0f, -0.1f}};\n    private static final long BASE_TIME = new Calendar.Builder().setTimeZone(TimeZone.getTimeZone(""UTC"")).setDate(2020, 0, 1).build().getTimeInMillis();\n    private static final float[][] SCHMIDT_QUASI_NORM_FACTORS = GeomagneticField.computeSchmidtQuasiNormFactors((int)G_COEFF.length);\n\n    public GeomagneticField(float f, float f2, float f3, long l) {\n        int n = G_COEFF.length;\n        f = Math.min(89.99999f, Math.max(-89.99999f, f));\n        this.computeGeocentricCoordinates(f, f2, f3);\n        assert (G_COEFF.length == H_COEFF.length);\n        LegendreTable legendreTable = new LegendreTable(n - 1, (float)(1.5707963267948966 - (double)this.mGcLatitudeRad));\n        float[] fArray = new float[n + 2];\n        fArray[0] = 1.0f;\n        fArray[1] = 6371.2f / this.mGcRadiusKm;\n        for (int i = 2; i < fArray.length; ++i) {\n            fArray[i] = fArray[i - 1] * fArray[1];\n        }\n        float[] fArray2 = new float[n];\n        float[] fArray3 = new float[n];\n        fArray2[0] = 0.0f;\n        fArray3[0] = 1.0f;\n        fArray2[1] = (float)Math.sin(this.mGcLongitudeRad);\n        fArray3[1] = (float)Math.cos(this.mGcLongitudeRad);\n        for (int i = 2; i < n; ++i) {\n            int n2 = i >> 1;\n            fArray2[i] = fArray2[i - n2] * fArray3[n2] + fArray3[i - n2] * fArray2[n2];\n            fArray3[i] = fArray3[i - n2] * fArray3[n2] - fArray2[i - n2] * fArray2[n2];\n        }\n        float f4 = 1.0f / (float)Math.cos(this.mGcLatitudeRad);\n        float f5 = (float)(l - BASE_TIME) / 3.1536001E10f;\n        float f6 = 0.0f;\n        float f7 = 0.0f;\n        float f8 = 0.0f;\n        for (int i = 1; i < n; ++i) {\n            for (int j = 0; j <= i; ++j) {\n                float f9 = G_COEFF[i][j] + f5 * DELTA_G[i][j];\n                float f10 = H_COEFF[i][j] + f5 * DELTA_H[i][j];\n                f6 += fArray[i + 2] * (f9 * fArray3[j] + f10 * fArray2[j]) * legendreTable.mPDeriv[i][j] * SCHMIDT_QUASI_NORM_FACTORS[i][j];\n                f7 += fArray[i + 2] * (float)j * (f9 * fArray2[j] - f10 * fArray3[j]) * legendreTable.mP[i][j] * SCHMIDT_QUASI_NORM_FACTORS[i][j] * f4;\n                f8 -= (float)(i + 1) * fArray[i + 2] * (f9 * fArray3[j] + f10 * fArray2[j]) * legendreTable.mP[i][j] * SCHMIDT_QUASI_NORM_FACTORS[i][j];\n            }\n        }\n        double d = Math.toRadians(f) - (double)this.mGcLatitudeRad;\n        this.mX = (float)((double)f6 * Math.cos(d) + (double)f8 * Math.sin(d));\n        this.mY = f7;\n        this.mZ = (float)((double)(-f6) * Math.sin(d) + (double)f8 * Math.cos(d));\n    }\n\n    public float getX() {\n        return this.mX;\n    }\n\n    public float getY() {\n        return this.mY;\n    }\n\n    public float getZ() {\n        return this.mZ;\n    }\n\n    public float getDeclination() {\n        return (float)Math.toDegrees(Math.atan2(this.mY, this.mX));\n    }\n\n    public float getInclination() {\n        return (float)Math.toDegrees(Math.atan2(this.mZ, this.getHorizontalStrength()));\n    }\n\n    public float getHorizontalStrength() {\n        return (float)Math.hypot(this.mX, this.mY);\n    }\n\n    public float getFieldStrength() {\n        return (float)Math.sqrt(this.mX * this.mX + this.mY * this.mY + this.mZ * this.mZ);\n    }\n\n    private void computeGeocentricCoordinates(float f, float f2, float f3) {\n        float f4 = f3 / 1000.0f;\n        float f5 = 4.0680636E7f;\n        float f6 = 4.04083E7f;\n        double d = Math.toRadians(f);\n        float f7 = (float)Math.cos(d);\n        float f8 = (float)Math.sin(d);\n        float f9 = f8 / f7;\n        float f10 = (float)Math.sqrt(f5 * f7 * f7 + f6 * f8 * f8);\n        this.mGcLatitudeRad = (float)Math.atan(f9 * (f10 * f4 + f6) / (f10 * f4 + f5));\n        this.mGcLongitudeRad = (float)Math.toRadians(f2);\n        float f11 = f4 * f4 + 2.0f * f4 * (float)Math.sqrt(f5 * f7 * f7 + f6 * f8 * f8) + (f5 * f5 * f7 * f7 + f6 * f6 * f8 * f8) / (f5 * f7 * f7 + f6 * f8 * f8);\n        this.mGcRadiusKm = (float)Math.sqrt(f11);\n    }\n\n    private static float[][] computeSchmidtQuasiNormFactors(int n) {\n        float[][] fArrayArray = new float[n + 1][];\n        fArrayArray[0] = new float[]{1.0f};\n        for (int i = 1; i <= n; ++i) {\n            fArrayArray[i] = new float[i + 1];\n            fArrayArray[i][0] = fArrayArray[i - 1][0] * (float)(2 * i - 1) / (float)i;\n            for (int j = 1; j <= i; ++j) {\n                fArrayArray[i][j] = fArrayArray[i][j - 1] * (float)Math.sqrt((float)((i - j + 1) * (j == 1 ? 2 : 1)) / (float)(i + j));\n            }\n        }\n        return fArrayArray;\n    }\n}\n\n",11.0,1.0,0.0,1.0,31.0,13.0,0.0,8.0,yes,"['High Response Set', 'Deep Nesting']","CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.hardware.GeomagneticField\n *  android.hardware.GeomagneticField$LegendreTable\n */\npackage android.hardw...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 11.0 [OK]
- Cohesion (LCOM): 13.0 [OK]
- Coupling (CBO): 1.0 [OK]
- Response (RFC): 31.0 [HIGH]
- Inheritance Depth (DIT): 1.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 8.0

HEURISTIC ASSESSMENT: YES
DETECTED ISSUES: High Response Set, Deep Nesting",Detected potential issues: high response set (RFC=31.0). Recommendations: limit method calls and simplify interactions.,"PREDICTION: Yes
CONFIDENCE: 85%
EXPLANATION: Detected potential issues: high response set (RFC=31.0). Recommendations: limit method calls and simplify interactions."
77,DownloadListener,"/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.webkit.DownloadListener\n */\npackage android.webkit;\n\npublic interface DownloadListener {\n    public void onDownloadStart(String var1, String var2, String var3, String var4, long var5);\n}\n\n",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.webkit.DownloadListener\n */\npackage android.webkit;\n\npublic interface DownloadListener {\n    public v...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 1.0 [OK]
- Cohesion (LCOM): 0.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 1.0 [OK]
- Inheritance Depth (DIT): 1.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 1.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=1.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=1.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=1.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=1.0)."
55,Credentials,"/*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.net.Credentials\n */\npackage android.net;\n\npublic class Credentials {\n    private final int pid;\n    private final int uid;\n    private final int gid;\n\n    public Credentials(int n, int n2, int n3) {\n        this.pid = n;\n        this.uid = n2;\n        this.gid = n3;\n    }\n\n    public int getPid() {\n        return this.pid;\n    }\n\n    public int getUid() {\n        return this.uid;\n    }\n\n    public int getGid() {\n        return this.gid;\n    }\n}\n\n",4.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,no,[],"CODE CONTEXT: /*\n * Decompiled with CFR 0.152.\n * \n * Could not load the following classes:\n *  android.net.Credentials\n */\npackage android.net;\n\npublic class Credentials {\n    private final int pid;\n    ...

OBJECT-ORIENTED METRICS ANALYSIS:
- Complexity (WMC): 4.0 [OK]
- Cohesion (LCOM): 0.0 [OK]
- Coupling (CBO): 0.0 [OK]
- Response (RFC): 5.0 [OK]
- Inheritance Depth (DIT): 1.0 [OK]
- Children (NOC): 0.0 [OK]
- Afferent Coupling (Ca): 0.0
- Efferent Coupling (Ce): 4.0

HEURISTIC ASSESSMENT: NO
DETECTED ISSUES: None","Code demonstrates solid design: controlled complexity (WMC=4.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=5.0).","PREDICTION: No
CONFIDENCE: 95%
EXPLANATION: Code demonstrates solid design: controlled complexity (WMC=4.0), managed coupling (CBO=0.0), good cohesion (LCOM=0.0), reasonable response set (RFC=5.0)."
