ID No.,Class Name,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce
1,Test,3,1,0,0,7,1,0,0
2,android.security.identity.AccessControlProfileId,2,1,0,0,3,0,0,2
3,android.accessibilityservice.AccessibilityTrace,11,1,0,0,25,49,0,10
4,android.accounts.AccountsException,4,3,0,0,8,6,0,4
5,android.content.ActivityNotFoundException,2,4,0,0,4,1,0,2
6,android.widget.Advanceable,2,1,0,0,2,1,0,2
7,android.text.AndroidCharacter,6,1,0,0,7,15,0,6
8,android.util.AndroidException,5,3,0,0,10,10,0,4
9,android.util.AndroidRuntimeException,4,4,0,0,8,6,0,4
10,android.content.pm.AndroidTestBaseUpdater,1,1,0,0,2,0,0,1
11,android.graphics.drawable.Animatable,3,1,0,0,3,3,0,3
12,android.annotation.AnimatorRes,0,1,0,0,0,0,0,0
13,android.annotation.AnimRes,0,1,0,0,0,0,0,0
14,android.app.AnrController,3,1,0,0,3,3,0,3
15,android.annotation.AnyRes,0,1,0,0,0,0,0,0
16,android.annotation.AnyThread,0,1,0,0,0,0,0,0
17,android.annotation.AppIdInt,0,1,0,0,0,0,0,0
18,android.app.ApplicationThreadConstants,1,1,0,0,2,0,0,1
19,android.annotation.ArrayRes,0,1,0,0,0,0,0,0
20,android.test.AssertionFailedError,2,3,0,0,4,1,0,2
21,android.attention.AttentionManagerInternal$AttentionCallbackInternal,3,1,0,0,4,3,0,3
22,android.attention.AttentionManagerInternal$ProximityUpdateCallbackInternal,2,1,0,0,3,1,0,2
23,android.attention.AttentionManagerInternal,6,1,0,2,7,15,0,6
24,android.annotation.AttrRes,0,1,0,0,0,0,0,0
25,android.net.rtp.AudioCodec,4,1,0,0,14,0,0,2
26,android.media.AudioRecordingMonitorClient,1,1,0,0,1,0,0,1
27,android.util.BackupUtils$BadVersionException,2,3,0,0,4,1,0,2
28,android.util.BackupUtils,3,1,0,0,8,3,0,3
29,android.util.Base64DataException,1,4,0,0,2,0,0,1
30,android.provider.BaseColumns,0,1,0,0,0,0,0,0
31,android.os.BatteryManagerInternal,13,1,0,0,14,78,0,13
32,android.annotation.BinderThread,0,1,0,0,0,0,0,0
33,android.annotation.BoolRes,0,1,0,0,0,0,0,0
34,android.annotation.BroadcastBehavior,4,1,0,0,4,6,0,4
35,android.renderscript.Byte2,31,1,0,0,33,0,0,31
36,android.renderscript.Byte3,31,1,0,0,33,0,0,31
37,android.renderscript.Byte4,31,1,0,0,33,0,0,31
38,android.util.apk.ByteBufferFactory,1,1,0,0,1,0,0,1
39,android.annotation.BytesLong,0,1,0,0,0,0,0,0
40,android.annotation.CallbackExecutor,0,1,0,0,0,0,0,0
41,android.annotation.CallSuper,0,1,0,0,0,0,0,0
42,android.security.net.config.CertificateSource,5,1,0,0,5,10,0,5
43,android.net.vcn.persistablebundleutils.CertUtils,3,1,0,0,12,3,0,3
44,android.database.CharArrayBuffer,2,1,0,0,3,0,0,2
45,android.widget.Checkable,3,1,0,0,3,3,0,3
46,android.annotation.CheckResult,1,1,0,0,1,0,0,1
47,android.text.ClipboardManager,4,1,0,0,5,6,0,4
48,android.annotation.ColorInt,0,1,0,0,0,0,0,0
49,android.annotation.ColorLong,0,1,0,0,0,0,0,0
50,android.graphics.ColorMatrix,16,1,0,0,22,0,0,16
51,android.annotation.ColorRes,0,1,0,0,0,0,0,0
52,android.annotation.Condemned,0,1,0,0,0,0,0,0
53,android.telecom.Conferenceable,1,1,0,0,2,0,0,0
54,android.util.Config,1,1,0,0,2,0,0,1
55,android.security.ConfirmationAlreadyPresentingException,2,3,0,0,4,1,0,2
56,android.security.ConfirmationNotAvailableException,2,3,0,0,4,1,0,2
57,android.util.ContainerHelpers,3,1,0,0,4,3,0,0
58,android.net.Credentials,4,1,0,0,5,0,0,4
59,android.annotation.CurrentTimeMillisLong,0,1,0,0,0,0,0,0
60,android.annotation.CurrentTimeSecondsLong,0,1,0,0,0,0,0,0
61,android.util.apk.DataDigester,1,1,0,0,1,0,0,1
62,android.database.DataSetObserver,3,1,0,0,4,3,0,3
63,android.util.DataUnit$1,2,0,0,1,3,1,0,1
